event_date,ticker,abnormal_return,volatility_5d,label,target_rate,rate_change,inflation,unemployment,gdp_growth
2015-12-16,SPY,0.00011712932117280417,0.011855924217058089,1,0.375,0.25,0.0012761656067050708,5.0,0.02920141207505833
2015-12-16,QQQ,0.0003542087758814372,0.014098784964361033,1,0.375,0.25,0.0012761656067050708,5.0,0.02920141207505833
2015-12-16,XLF,0.0017012519037231666,0.017060699390609304,1,0.375,0.25,0.0012761656067050708,5.0,0.02920141207505833
2015-12-16,IWM,0.0007453311506973037,0.014019976423596262,1,0.375,0.25,0.0012761656067050708,5.0,0.02920141207505833
2016-12-14,QQQ,0.006041592224580783,0.007415413865623979,1,0.625,0.25,0.01685924966243646,4.9,0.03548886021297282
2016-12-14,SPY,-0.00013708413976432077,0.005305762899836211,0,0.625,0.25,0.01685924966243646,4.9,0.03548886021297282
2016-12-14,XLF,0.003451609207494988,0.009429196711851738,1,0.625,0.25,0.01685924966243646,4.9,0.03548886021297282
2016-12-14,IWM,-0.004377952312262456,0.010005986445518896,0,0.625,0.25,0.01685924966243646,4.9,0.03548886021297282
2017-03-15,QQQ,-0.002205122567815465,0.002394658793413288,0,0.625,0.0,0.025103933482571117,4.7,0.040707855307476226
2017-03-15,SPY,0.00027876807533577797,0.0028373732528606155,1,0.625,0.0,0.025103933482571117,4.7,0.040707855307476226
2017-03-15,IWM,0.007108119447052141,0.004807102688855659,1,0.625,0.0,0.025103933482571117,4.7,0.040707855307476226
2017-03-15,XLF,-0.009989134834427316,0.0025616430359845523,0,0.625,0.0,0.025103933482571117,4.7,0.040707855307476226
2017-06-14,XLF,0.002630459439363242,0.0064573461347886794,1,0.875,0.0,0.02176223471915395,4.4,0.03884953918141698
2017-06-14,QQQ,-0.003350047298452341,0.013005467057083898,0,0.875,0.0,0.02176223471915395,4.4,0.03884953918141698
2017-06-14,SPY,-0.00027151683609860644,0.002441876672134558,0,0.875,0.0,0.02176223471915395,4.4,0.03884953918141698
2017-06-14,IWM,-0.004916078017217385,0.0058095693658890765,0,0.875,0.0,0.02176223471915395,4.4,0.03884953918141698
2017-09-20,QQQ,-0.0037209234385994217,0.0036312234677176656,0,1.125,0.0,0.017251073506566073,4.3,0.04234220534251465
2017-09-20,XLF,0.005306202201353916,0.005350191019224186,1,1.125,0.0,0.017251073506566073,4.3,0.04234220534251465
2017-09-20,SPY,-0.0002741748911243569,0.0009185401789584488,0,1.125,0.0,0.017251073506566073,4.3,0.04234220534251465
2017-09-20,IWM,0.0025742439324372146,0.0031308717916731597,1,1.125,0.0,0.017251073506566073,4.3,0.04234220534251465
